"calibration_n","metric","mean","sd","p025","median","p975"
2000,"max_rank_shift_pp",0.52223489167617,0.105257025963913,0.342075256556446,0.456100342075261,0.744013683010264
2000,"top_decile_overlap",0.998863636363636,0.00342626527929277,0.988636363636364,1,1
2000,"max_share",0.0544016526573241,0.000236262504780311,0.0538821975691042,0.0544042232664461,0.0548569377727061
2000,"effective_items",27.0961949790689,0.0112397457077454,27.0741048314897,27.0967095108845,27.1178593858213
2000,"operational_max",1.97430222004677,0.012707501842027,1.95130136089531,1.97468937844333,2.00069537941742
2000,"constants",0,0,0,0,0
2000,"small_groups",0,0,0,0,0
2000,"negative_items",0,0,0,0,0
2000,"share_L1",0.00354139949898402,0.000598305208409874,0.00249650404398373,0.00348807489130892,0.00460259149645203
2000,"share_max_abs",0.000384355874890951,0.00010915565244978,0.00022329960058866,0.00036462229853803,0.000654092560665823
2045,"pearson",1,0,1,1,1
2045,"spearman",1,0,1,1,1
2045,"rmse",0,0,0,0,0
2045,"mean_change",0,0,0,0,0
2045,"max_abs_change",0,0,0,0,0
2045,"mean_rank_shift_pp",0,0,0,0,0
2045,"p95_rank_shift_pp",0,0,0,0,0
2045,"max_rank_shift_pp",0,0,0,0,0
2045,"top_decile_overlap",1,0,1,1,1
2045,"max_share",0.0543833803561316,0,0.0543833803561316,0.0543833803561316,0.0543833803561316
2045,"effective_items",27.0957832857078,0,27.0957832857078,27.0957832857078,27.0957832857078
2045,"operational_max",1.97103658852246,0,1.97103658852246,1.97103658852246,1.97103658852246
2045,"constants",0,0,0,0,0
2045,"small_groups",0,0,0,0,0
2045,"negative_items",0,0,0,0,0
2045,"share_L1",0,0,0,0,0
2045,"share_max_abs",0,0,0,0,0
